stationname,parameter,date,hour,conc
Congonhas,CO,2020-04-06,7,0.3
Congonhas,CO,2020-04-06,8,0.5
Congonhas,CO,2020-04-06,9,0.5
Congonhas,CO,2020-04-06,10,0.6
Congonhas,CO,2020-04-06,11,0.5
Congonhas,CO,2020-04-06,12,0.5
Congonhas,CO,2020-04-06,13,0.6
Congonhas,CO,2020-04-06,14,0.5
Congonhas,CO,2020-04-06,15,0.5
Congonhas,CO,2020-04-06,16,0.5
Congonhas,CO,2020-04-06,17,0.6
Congonhas,CO,2020-04-06,18,1
Congonhas,CO,2020-04-06,19,0.9
Congonhas,CO,2020-04-06,20,1
Congonhas,CO,2020-04-06,21,1.3
Congonhas,CO,2020-04-06,22,1.3
Congonhas,CO,2020-04-06,23,0.8
Congonhas,CO,2020-04-06,24,0.5
Congonhas,CO,2020-04-07,1,0.3
Congonhas,CO,2020-04-07,2,0.2
Congonhas,CO,2020-04-07,3,0.2
Congonhas,CO,2020-04-07,4,0.2
Congonhas,CO,2020-04-07,5,0.3
Congonhas,CO,2020-04-07,6,0.5
Congonhas,CO,2020-04-07,7,0.6
Congonhas,CO,2020-04-07,8,0.8
Congonhas,CO,2020-04-07,9,0.6
Congonhas,CO,2020-04-07,10,0.8
Congonhas,CO,2020-04-07,11,0.7
Congonhas,CO,2020-04-07,12,0.5
Congonhas,CO,2020-04-07,13,0.6
Congonhas,CO,2020-04-07,14,0.6
Congonhas,CO,2020-04-07,15,0.5
Congonhas,CO,2020-04-07,16,0.7
Congonhas,CO,2020-04-07,17,0.7
Congonhas,CO,2020-04-07,18,0.7
Congonhas,CO,2020-04-07,19,0.6
Congonhas,CO,2020-04-07,20,0.5
Congonhas,CO,2020-04-07,21,0.4
Congonhas,CO,2020-04-07,22,0.4
Congonhas,CO,2020-04-07,23,0.4
Congonhas,CO,2020-04-07,24,0.2
Congonhas,CO,2020-04-08,1,0.2
Congonhas,CO,2020-04-08,2,0.1
Congonhas,CO,2020-04-08,3,0.1
Congonhas,CO,2020-04-08,4,0.1
Congonhas,CO,2020-04-08,5,0.2
Congonhas,CO,2020-04-08,6,0.4
Congonhas,CO,2020-04-08,7,0.5
Congonhas,CO,2020-04-08,8,0.6
Congonhas,CO,2020-04-08,9,0.6
Congonhas,CO,2020-04-08,10,0.5
Congonhas,CO,2020-04-08,11,0.6
Congonhas,CO,2020-04-08,12,0.6
Congonhas,CO,2020-04-08,13,0.6
Congonhas,CO,2020-04-08,14,0.6
Congonhas,CO,2020-04-08,15,0.7
Congonhas,CO,2020-04-08,16,0.6
Congonhas,CO,2020-04-08,17,0.7
Congonhas,CO,2020-04-08,18,0.7
Congonhas,CO,2020-04-08,19,0.7
Congonhas,CO,2020-04-08,20,0.5
Congonhas,CO,2020-04-08,21,0.5
Congonhas,CO,2020-04-08,22,0.4
Congonhas,CO,2020-04-08,23,0.5
Congonhas,CO,2020-04-08,24,0.4
Congonhas,CO,2020-04-09,1,0.3
Congonhas,CO,2020-04-09,2,0.2
Congonhas,CO,2020-04-09,3,0.2
Congonhas,CO,2020-04-09,4,0.2
Congonhas,CO,2020-04-09,5,0.2
Congonhas,CO,2020-04-09,6,0.4
Congonhas,CO,2020-04-09,7,0.5
Congonhas,CO,2020-04-09,8,0.7
Congonhas,CO,2020-04-09,9,0.6
Congonhas,CO,2020-04-09,10,0.5
Congonhas,CO,2020-04-09,11,0.5
Congonhas,CO,2020-04-09,12,0.4
